GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,10_92count,10_92sum,10_92mean,10_93count,10_93sum,10_93mean,10_94count,10_94sum,10_94mean,12_94count,12_94sum,12_94mean,12_95count,12_95sum,12_95mean,12_96count,12_96sum,12_96mean,12_97count,12_97sum,12_97mean,12_98count,12_98sum,12_98mean,12_99count,12_99sum,12_99mean,14_97count,14_97sum,14_97mean,14_98count,14_98sum,14_98mean,14_99count,14_99sum,14_99mean,14_00count,14_00sum,14_00mean,14_01count,14_01sum,14_01mean,14_02count,14_02sum,14_02mean,14_03count,14_03sum,14_03mean,15_00count,15_00sum,15_00mean,15_01count,15_01sum,15_01mean,15_02count,15_02sum,15_02mean,15_03count,15_03sum,15_03mean,15_04count,15_04sum,15_04mean,15_05count,15_05sum,15_05mean,15_06count,15_06sum,15_06mean,15_07count,15_07sum,15_07mean,16_04count,16_04sum,16_04mean,16_05count,16_05sum,16_05mean,16_06count,16_06sum,16_06mean,16_07count,16_07sum,16_07mean,16_08count,16_08sum,16_08mean,16_09count,16_09sum,16_09mean,18_10count,18_10sum,18_10mean,18_11count,18_11sum,18_11mean,18_12count,18_12sum,18_12mean,18_13count,18_13sum,18_13mean
IND,India,IND.1_1,Andaman and Nicobar,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare,,Union Territor,Union Territory,,IN.AN,9056,2308,0.254858657243816,9056,3969,0.43827296819788,9056,3822,0.422040636042403,9056,3342,0.369037102473498,9056,5318,0.587234982332155,9056,5123,0.565702296819788,9056,4857,0.536329505300353,9056,5116,0.564929328621908,9056,4498,0.496687279151943,9056,2973,0.328290636042403,9056,4007,0.442469081272085,9056,3717,0.410446113074205,9056,4414,0.487411660777385,9056,4540,0.501325088339223,9056,5106,0.563825088339223,9056,4386,0.484319787985866,9056,4370,0.482553003533569,9056,5508,0.60821554770318,9056,5925,0.654262367491166,9056,4027,0.444677561837456,9056,4707,0.519765901060071,9056,3959,0.437168727915194,9056,4714,0.520538869257951,9056,4149,0.458149293286219,9056,7093,0.783237632508834,9056,4590,0.50684628975265,9056,4748,0.524293286219081,9056,7315,0.807751766784452,9056,6102,0.6738074204947,9056,6157,0.67988074204947,9056,10847,1.19776943462897,9056,7811,0.862522084805654,9056,8010,0.884496466431095,9056,7420,0.81934628975265
IND,India,IND.2_1,Andhra Pradesh,,,State,State,,IN.AP,194374,392311,2.01833064092934,194374,573819,2.95213866052044,194374,537868,2.76718079578544,194374,522436,2.68778746128597,194374,704423,3.62405980223692,194374,709419,3.64976282836182,194374,750126,3.85918898618128,194374,849410,4.36997746612201,194374,862367,4.43663761614208,194374,517933,2.66462078261496,194374,610091,3.13874798069701,194374,658937,3.39004702274996,194374,652799,3.35846872524103,194374,678629,3.49135686871701,194374,745775,3.83680430510253,194374,684447,3.52128885550537,194374,869419,4.47291818864663,194374,911123,4.68747363330487,194374,938279,4.82718367682921,194374,596139,3.06696883328017,194374,612281,3.1500149196909,194374,638698,3.28592301439493,194374,675587,3.4757066274296,194374,669823,3.44605245557533,194374,887055,4.56365048823402,194374,708674,3.64593001121549,194374,823335,4.2358288660006,194374,1021606,5.25587784374453,194374,986731,5.07645569880745,194374,975198,5.01712163149392,194374,1532230,7.88289586055748,194374,1202257,6.18527683743711,194374,1335641,6.87150030353854,194374,1272301,6.54563367528579
IND,India,IND.3_1,Arunachal Pradesh,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency,,State,State,,IN.AR,108392,4977,0.045916672817182,108392,4720,0.043545649125397,108392,3886,0.035851354343494,108392,2508,0.023138238984427,108392,4057,0.037428961546978,108392,6576,0.060668684035722,108392,5299,0.048887371761754,108392,6815,0.062873643811351,108392,7729,0.071306000442837,108392,4289,0.039569340910768,108392,5464,0.050409624326519,108392,7326,0.067588013875563,108392,5424,0.050040593401727,108392,5375,0.049588530518857,108392,5199,0.047964794449775,108392,5538,0.051092331537383,108392,7479,0.06899955716289,108392,7264,0.067016015942136,108392,6598,0.060871651044358,108392,4982,0.045962801682781,108392,5345,0.049311757325264,108392,5761,0.053149678943095,108392,6530,0.060244298472212,108392,6629,0.061157650011071,108392,8719,0.080439515831427,108392,6518,0.060133589194775,108392,7664,0.070706325190051,108392,10173,0.093853789947598,108392,9262,0.085449110635471,108392,8436,0.077828622038527,108392,17156,0.158277363643073,108392,14383,0.132694294781903,108392,14346,0.132352941176471,108392,15224,0.140453169975644
IND,India,IND.4_1,Assam,,,State,State,,IN.AS,102226,138702,1.35681724805822,102226,151816,1.48510163754818,102226,160712,1.57212450844208,102226,134888,1.31950775732201,102226,166850,1.63216794161955,102226,184816,1.80791579441629,102226,181848,1.77888208479252,102226,214020,2.0935965409974,102226,187505,1.83422025707746,102226,146402,1.43214055132745,102226,149262,1.46011777825602,102226,156453,1.53046191771174,102226,163364,1.59806702795766,102226,155809,1.52416215052922,102226,160033,1.56548236260834,102226,134375,1.31448946451979,102226,214729,2.10053215424647,102226,205369,2.00897032066206,102226,195710,1.91448359517148,102226,125769,1.23030344530746,102226,135899,1.32939760921879,102226,141095,1.38022616555475,102226,136289,1.33321268561814,102226,156218,1.52816308962495,102226,196883,1.92595817111107,102226,161985,1.58457730909945,102226,178680,1.74789192573318,102226,221702,2.16874376381742,102226,223195,2.18334865885391,102226,203503,1.99071664742825,102226,344759,3.37251775477863,102226,283718,2.77539960479721,102226,312653,3.05844892688748,102226,295968,2.89523213272553
IND,India,IND.5_1,Bihar,,,State,State,,IN.BR,122033,62600,0.512975998295543,122033,90892,0.74481492710988,122033,84634,0.693533716289856,122033,85542,0.700974326616571,122033,115611,0.947374890398499,122033,126534,1.03688346594774,122033,131841,1.08037170273615,122033,149791,1.22746306326977,122033,125854,1.03131120270746,122033,86863,0.711799267411274,122033,115150,0.943597223701786,122033,96061,0.787172322240705,122033,125107,1.02518990764793,122033,122319,1.00234362836282,122033,141834,1.16225938885384,122033,118005,0.966992534806159,122033,176973,1.45020609179484,122033,144530,1.18435177370056,122033,179633,1.47200347447002,122033,82272,0.674178296034679,122033,105611,0.865429842747454,122033,95190,0.780034908590299,122033,117634,0.963952373538305,122033,120592,0.988191718633484,122033,149674,1.22650430621225,122033,136352,1.11733711373153,122033,151170,1.23876328534085,122033,173466,1.42146796358362,122033,181361,1.48616357870412,122033,152072,1.24615472863897,122033,313786,2.57132087222309,122033,212734,1.74324977669975,122033,228110,1.86924848196799,122033,349542,2.86432358460416
IND,India,IND.6_1,Chandigarh,,,Union Territor,Union Territory,,IN.CH,156,8566,54.9102564102564,156,8405,53.8782051282051,156,8394,53.8076923076923,156,8903,57.0705128205128,156,8682,55.6538461538462,156,8491,54.4294871794872,156,8823,56.5576923076923,156,9051,58.0192307692308,156,9070,58.1410256410256,156,8264,52.974358974359,156,8614,55.2179487179487,156,8869,56.8525641025641,156,8894,57.0128205128205,156,9243,59.25,156,9132,58.5384615384615,156,9155,58.6858974358974,156,9030,57.8846153846154,156,9067,58.1217948717949,156,9099,58.3269230769231,156,8505,54.5192307692308,156,8759,56.1474358974359,156,8630,55.3205128205128,156,8893,57.0064102564103,156,8452,54.1794871794872,156,9051,58.0192307692308,156,8999,57.6858974358974,156,9224,59.1282051282051,156,9429,60.4423076923077,156,9274,59.4487179487179,156,9225,59.1346153846154,156,9479,60.7628205128205,156,9393,60.2115384615385,156,9607,61.5833333333333,156,9634,61.7564102564103
IND,India,IND.7_1,Chhattisgarh,,,State,State,,IN.CT,169814,130521,0.768611539684596,169814,112411,0.661965444545208,169814,141421,0.832799415831439,169814,167798,0.988128187310822,169814,215977,1.27184448867585,169814,204662,1.20521276219864,169814,194234,1.14380439775283,169814,234206,1.37919135053647,169814,212722,1.25267645777144,169814,153304,0.902775978423452,169814,175350,1.03260037452742,169814,124196,0.731364905131497,169814,179245,1.05553723485696,169814,148451,0.874197651548164,169814,227291,1.33847032635707,169814,182228,1.07310351325568,169814,229880,1.35371641914094,169814,223806,1.31794787237801,169814,288919,1.70138504481374,169814,161450,0.950746110450257,169814,225384,1.32724039242936,169814,244696,1.44096482033283,169814,226513,1.33388884308714,169814,242472,1.42786813808049,169814,300849,1.77163838081666,169814,254031,1.49593673077603,169814,255255,1.5031446170516,169814,369439,2.17555089686363,169814,390074,2.29706620184437,169814,375525,2.21139010917828,169814,565612,3.33077367001543,169814,527387,3.10567444380322,169814,590886,3.47960709953243,169814,634885,3.73870823371454
IND,India,IND.8_1,Dadra and Nagar Haveli,DAdra et Nagar Haveli|Dadra e Nagar Haveli,,Union Territor,Union Territory,,IN.DN,617,904,1.46515397082658,617,1748,2.83306320907618,617,1692,2.74230145867099,617,2071,3.35656401944895,617,2742,4.44408427876823,617,3501,5.6742301458671,617,4102,6.6482982171799,617,5097,8.26094003241491,617,5528,8.95948136142626,617,3076,4.98541329011345,617,3561,5.77147487844408,617,3962,6.42139384116694,617,4149,6.72447325769854,617,4519,7.32414910858995,617,5106,8.27552674230146,617,5055,8.19286871961102,617,5671,9.19124797406807,617,6273,10.1669367909238,617,6427,10.4165316045381,617,4346,7.04376012965964,617,5028,8.14910858995138,617,5593,9.06482982171799,617,5908,9.57536466774716,617,6710,10.8752025931929,617,6740,10.9238249594814,617,5460,8.84927066450567,617,6140,9.95137763371151,617,8966,14.5316045380875,617,9419,15.2658022690438,617,8971,14.5397082658023,617,12068,19.5591572123177,617,12092,19.5980551053485,617,12229,19.8200972447326,617,13129,21.2787682333874
IND,India,IND.9_1,Daman and Diu,,,Union Territor,Union Territory,,IN.DD,107,1489,13.9158878504673,107,1629,15.2242990654206,107,1830,17.1028037383178,107,2182,20.392523364486,107,2435,22.7570093457944,107,2723,25.4485981308411,107,3194,29.8504672897196,107,3492,32.6355140186916,107,3644,34.0560747663551,107,2676,25.0093457943925,107,2462,23.0093457943925,107,2687,25.1121495327103,107,3015,28.1775700934579,107,3132,29.2710280373832,107,3561,33.2803738317757,107,3435,32.1028037383178,107,3419,31.9532710280374,107,3427,32.0280373831776,107,3544,33.1214953271028,107,3011,28.1401869158878,107,3229,30.1775700934579,107,3324,31.0654205607477,107,3436,32.1121495327103,107,3366,31.4579439252336,107,3741,34.9626168224299,107,3171,29.6355140186916,107,3448,32.2242990654206,107,4177,39.0373831775701,107,4268,39.8878504672897,107,4469,41.7663551401869,107,5112,47.7757009345794,107,4788,44.7476635514019,107,4674,43.6822429906542,107,4992,46.6542056074766
IND,India,IND.10_1,Goa,Gôa,,State,State,,IN.GA,4476,19191,4.28753351206434,4476,23129,5.16733690795353,4476,23830,5.32394995531725,4476,27873,6.22721179624665,4476,27556,6.15638963360143,4476,29201,6.52390527256479,4476,30533,6.82149240393208,4476,32040,7.15817694369973,4476,38042,8.49910634495085,4476,21334,4.76630920464701,4476,25996,5.80786416443253,4476,25739,5.75044682752458,4476,30197,6.7464253798034,4476,32881,7.34606791778374,4476,35271,7.88002680965147,4476,36208,8.0893655049151,4476,36895,8.24285075960679,4476,40456,9.0384271671135,4476,41999,9.3831546023235,4476,31263,6.98458445040214,4476,30417,6.7955764075067,4476,34811,7.77725647899911,4476,34296,7.66219839142091,4476,33386,7.45889186773905,4476,40703,9.09361036639857,4476,35980,8.0384271671135,4476,37342,8.34271671134942,4476,45607,10.1892314566577,4476,43427,9.70218945487042,4476,43937,9.81613047363718,4476,60336,13.4798927613941,4476,55820,12.4709562109026,4476,57358,12.8145665773012,4476,58907,13.1606344950849
