Year,Comments,,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Mnemonic,Function Information,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Uttaranchal,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,51289701 (IASAABF),SR502459,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61166002,374618207,113401.6667,1968755779,44370.66349,0.756645619,-0.193237927,0.391269942,56860,202050,103350,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56860,69140,75290,82420,89840,99460,107240,122370,131810,150640,173700,202050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: West Bengal,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18949101 (IASAABA),SR502460,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61166102,253736502,1220140.833,2.49349E+11,499348.7394,0.236905223,-1.065441483,0.409255002,534240,2068810,1211750,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,534240,620320,738650,820750,979660,1155160,1268340,1398630,1538650,1654190,1864290,2068810,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,Gross State Domestic Product (GSDP): 99p: Andhra Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61166602 (IAUEABAA),SR1905866,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737002,374618267,1880381.818,2.34208E+11,483950.6389,0.423312501,-1.389954938,0.257368282,1287970,2651400,1763790,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1287970,1393120,1451850,1491420,1630850,1763790,1944370,2161400,2393720,2514310,2651400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Andaman & Nicobar Islands,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169402 (IAUEABBC),SR1905740,,,2000,2008,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720602,374618557,11795.55556,5313152.778,2305.027717,0.537090004,-1.058628918,0.195414935,9370,15590,11660,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9390,9370,9650,10550,11660,12090,13200,14660,15590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Arunachal Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61166702 (IAUEABAB),SR1905739,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737102,374618277,22776,23343271.11,4831.487464,0.196291617,-1.231552376,0.21213064,16120,30280,22420,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16120,17260,19970,19110,21200,24690,23640,26890,28600,30280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Assam,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61166802 (IAUEABAC),SR1905825,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737202,374618287,440177.2727,5368480122,73269.9128,0.390199801,-0.9613048,0.166455465,348330,567020,431500,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,348330,357150,366420,392330,415950,431500,452820,475020,502220,533190,567020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Bihar,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61166902 (IAUEABAD),SR1905900,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737302,374618297,730804.5455,41326595967,203289.4389,0.854703942,-0.64598352,0.278172105,501740,1094200,659950,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,501740,582230,554670,620250,588330,659950,672430,823940,896200,1044910,1094200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Chandigarh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169502 (IAUEABBD),SR1905878,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720702,374618567,73723.63636,650332445.5,25501.61653,0.462396132,-1.015535851,0.345908284,41410,117590,69090,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41410,46480,50480,56640,62640,69090,75960,86870,96870,106930,117590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Chattisgarh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167902 (IAUEABAN),SR1905843,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253738302,374618307,390542.7273,13707645382,117079.654,0.629767269,-0.934572608,0.299787055,258400,600800,359400,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,272490,258400,292500,292330,340700,359400,384340,451640,504510,538860,600800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Delhi,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169602 (IAUEABBE),SR1905813,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720802,374618577,792942,53042874573,230310.3875,0.779282259,-0.724084367,0.290450484,552200,1206940,719945,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,552200,576050,598320,643530,680070,759820,843760,971910,1096820,1206940,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Goa,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167102 (IAUEABAF),SR1905757,,,2000,2008,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737502,374618317,78838.88889,308410461.1,17561.61898,0.787982253,-0.648318313,0.222753253,60930,110280,73290,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63300,60930,63670,68180,73290,80760,89910,99230,110280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Gujarat,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167202 (IAUEABAG),SR1905835,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737602,374618327,1637253.636,2.65757E+11,515515.9834,0.47615178,-1.141886684,0.314866293,1044940,2525280,1530790,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1098610,1044940,1132770,1225000,1405980,1530790,1736540,1894360,2130920,2284600,2525280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Haryana,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167302 (IAUEABAH),SR1905895,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737702,374618337,808687.2727,55632242642,235864.8822,0.433697635,-1.171543346,0.291663898,513750,1204070,760120,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,513750,555650,599070,638150,701070,760120,834360,942680,1032440,1114200,1204070,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Himachal Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167402 (IAUEABAI),SR1905754,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737802,374618347,202300,2439317120,49389.44341,0.456350451,-1.115299988,0.244139612,141120,286320,192810,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,141120,150040,157860,165850,179250,192810,209160,228430,248000,266460,286320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Jharkhand,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167002 (IAUEABAE),SR1905893,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253737402,374618367,409539,7215825743,84946.01664,0.47903314,-1.338284075,0.207418626,309410,546550,393870,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,343230,309410,330430,338820,366040,421700,433470,487800,517940,546550,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Karnataka,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167602 (IAUEABAK),SR1905859,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253738002,374618377,1360050,1.09163E+11,330398.463,0.526579354,-1.394423623,0.242931115,1012470,1897730,1254260,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1012470,1026870,1055600,1103600,1141740,1254260,1422410,1527940,1719840,1798090,1897730,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Kerala,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167702 (IAUEABAL),SR1905873,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253738102,374618387,957961,55210198143,234968.5046,0.552256617,-1.109293704,0.245279823,691680,1352020,901395,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,691680,716090,753090,808090,858580,944210,1041040,1151030,1263780,1352020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Madhya Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61167802 (IAUEABAM),SR1905750,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253738202,374618397,941378.1818,31505244796,177497.1684,0.781749482,-0.511834209,0.188550332,745820,1278960,881680,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,801320,745820,798910,767650,855300,881680,947770,1016270,1083760,1177720,1278960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Maharashtra,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168002 (IAUEABAO),SR1905798,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253738402,374618407,3369564.545,7.37192E+11,858598.9751,0.472164957,-1.334290723,0.254810069,2426150,4803350,3165490,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2478300,2426150,2524380,2696210,2911970,3165490,3471870,3886110,4278180,4423200,4803350,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Manipur,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168102 (IAUEABAP),SR1905814,,,2000,2009,3/11/2013,,,38249,40556876.67,6368.428116,0.408008695,-1.194640352,0.166499206,30530,48990,37725,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32600,30530,32610,32460,35980,39470,41290,42830,45730,48990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Meghalaya,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168202 (IAUEABAQ),SR1905804,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253719402,374618427,47939,93176498.89,9652.797464,0.479537565,-0.909738665,0.201355837,35780,64590,46290,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35780,37730,40330,41860,44700,47880,51730,55080,59710,64590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Pondicherry,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169702 (IAUEABBF),SR1905742,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720902,374618587,53084.54545,393326707.3,19832.46599,0.982375981,-0.491840081,0.373601503,32350,90590,43180,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32350,36720,39350,43090,45300,40400,43180,58640,73210,81100,90590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Punjab,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168602 (IAUEABAU),SR1905897,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253719802,374618467,844513.6364,21612880045,147013.1968,0.601964563,-0.877235039,0.174080311,671620,1107750,814600,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,671620,698030,711460,731740,776180,814600,851250,912990,975770,1038260,1107750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Rajasthan,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168702 (IAUEABAV),SR1905753,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253719902,374618477,1094658.182,64380623796,253733.3715,0.369519683,-1.397223823,0.231792331,809740,1482000,1041890,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,827200,810600,898690,809740,1041890,1022580,1102930,1243390,1356540,1445680,1482000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Sikkim,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168802 (IAUEABAW),SR1905776,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720002,374618487,12826,8406026.667,2899.314862,0.294567522,-1.120806756,0.22604981,8960,17560,12505,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8960,9640,10400,11160,12040,12970,14130,15140,16260,17560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Tamil Nadu,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61168902 (IAUEABAX),SR1905829,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720102,374618497,1784367.273,1.60344E+11,400429.5019,0.389797764,-1.648275742,0.2244098,1341850,2411220,1680850,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1341850,1420650,1398420,1422950,1508150,1680850,1880760,2093020,2185380,2284790,2411220,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Uttar Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169102 (IAUEABAZ),SR1905756,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720302,374618527,2207053.636,1.71175E+11,413732.818,0.655304331,-0.876521657,0.18745934,1751590,2948360,2104620,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1751590,1789970,1828850,1896820,1996820,2104620,2222420,2390700,2580670,2766770,2948360,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: Uttaranchal,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169202 (IAUEABBA),SR1905812,,,2000,2010,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720402,374618537,201659.0909,3124678829,55898.82672,0.311164875,-1.128124749,0.277194678,126210,295070,199470,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,126210,141410,149230,164040,176530,199470,210760,231030,254820,269680,295070,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Rebased from 1999-00 to 2004-05 base,GSDP: 99p: West Bengal,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,61169302 (IAUEABBB),SR1905851,,,2000,2009,3/11/2013,Rebased from 1999-2000 base to 2004-2005 base. Replacement series ID: 253720502,253720502,1779550,1.20282E+11,346816.8339,0.510183712,-0.938532965,0.194890188,1353760,2368060,1720060,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1353760,1405740,1508670,1565750,1662780,1777340,1877090,2049480,2226830,2368060,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,,Gross State Domestic Product (GSDP): 2011-12p: Andhra Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618267 (IAZDHAAAAAAMMS),SR97556817,,,2012,2018,5/9/2018,,,4652711.805,7.62972E+11,873482.6101,0.690375472,-0.843141058,0.187736238,3794015.8,6073881.9,4445642.7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3794015.8,3806290.107,4071147.424,4445642.7,4916965.2,5461039.5,6073881.9
2011,,GSDP: 2011-12p: Andaman and Nicobar Islands,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618557 (IAZDHAAAAAAMNV),SR97556827,,,2012,2017,2/8/2018,,,46704.95599,35219284.46,5934.583765,0.459305386,-0.748441601,0.127065397,39784.31748,55659.54521,46150.10746,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39784.31748,41564.83694,44883.92063,47416.29428,50920.8214,55659.54521,#N/A
2011,,GSDP: 2011-12p: Arunachal Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618277 (IAZDHAAAAAAMMT),SR97556837,,,2012,2018,2/8/2018,,,138376.1714,665559864.5,25798.44694,0.839981944,0.697668314,0.186437063,110626.9,184962.6,142913.8,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110626.9,112991.7,123383.4,143815.1,142913.8,149939.7,184962.6
2011,,GSDP: 2011-12p: Assam,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618287 (IAZDHAAAAAAMMU),SR97556847,,,2012,2017,2/8/2018,,,1670256.658,56717454414,238154.266,0.650927801,-1.60590192,0.142585431,1431749.1,2007900.073,1598688.513,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1431749.1,1473423.8,1545254,1652123.027,1911089.949,2007900.073,#N/A
2011,,GSDP: 2011-12p: Bihar,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618297 (IAZDHAAAAAAMMV),SR97556857,,,2012,2018,5/9/2018,,,2907187.748,1.6351E+11,404363.7676,0.924431199,0.113347806,0.13909104,2471439.614,3615042.958,2794824.369,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2471439.614,2568509.612,2696498.42,2794824.369,2956220.411,3247778.854,3615042.958
2011,,GSDP: 2011-12p: Chandigarh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618567 (IAZDHAAAAAAMNW),SR97556867,,,2012,2017,2/8/2018,,,226182.6667,852254750.1,29193.40251,0.109817202,-1.010319229,0.129070025,187681.5,266307.7,224872.75,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,187681.5,202851,221046.3,228699.2,250510.3,266307.7,#N/A
2011,,GSDP: 2011-12p: Chattisgarh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618307 (IAZDHAAAAAAMMW),SR97556877,,,2012,2018,5/9/2018,,,1901567.18,61855259784,248707.1768,0.291915502,-0.845755138,0.130790634,1580738.2,2278663.143,1858822.183,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1580738.2,1659774.016,1825794.498,1858822.183,1970688.399,2136489.822,2278663.143
2011,,GSDP: 2011-12p: Delhi,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Active,374618577 (IAZDHAAAAAAMNX),SR97556887,,,2012,2018,6/3/2018,,,4397088.465,6.23106E+11,789370.617,0.329289436,-1.322588103,0.179521204,3437975.013,5567999.276,4288992.377,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3437975.013,3666283.663,3929083.826,4288992.377,4740577.157,5148707.942,5567999.276
