Year,Comments,,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Mnemonic,Function Information,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Haryana,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947201 (IASAAAH),SR502439,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164102,374618007,486430.8333,37867933772,194596.8493,0.358833354,-0.921052809,0.4000504,221310,830030,462780,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,221310,262450,297890,356420,386490,436460,489100,550050,605610,661750,739610,830030,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Himachal Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947301 (IASAAAI),SR502440,,,1994,2006,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164202,374618017,124734.1923,3204239842,56606.00535,0.3040293,-1.043705707,0.453813059,47830,223824.5,122290,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47830,58250,66980,77550,88370,106960,122290,135900,149690,162350,180620,200930,223824.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Jammu & Kashmir,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947401 (IASAAAJ),SR502441,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164302,374618027,128871.6667,2403054833,49020.9632,0.218783926,-1.273974549,0.380385887,63430,208770,126880,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63430,69770,80970,91240,102860,114150,139610,147500,159270,177130,191760,208770,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Jharkhand,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18946901 (IASAAAE),SR502442,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61163802,374618037,287310.8333,7602736627,87193.67309,0.146338712,-0.872540571,0.303482024,161940,436870,293505,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,161940,180870,197490,211910,277160,305510,305110,281900,327060,364180,397730,436870,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Karnataka,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947501 (IASAAAK),SR502443,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164402,374618047,897081.6667,1.14938E+11,339025.1859,0.164132459,-0.950694601,0.377920092,410790,1485210,914065,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,410790,479150,562150,651760,730460,878410,949720,1045410,1084610,1186040,1301270,1485210,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Kerala,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947601 (IASAAAL),SR502444,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164502,374618057,602482.5,54142016420,232684.3708,0.216998821,-0.892252826,0.386209344,263260,1005310,593690,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,263260,318770,387620,444600,494840,562040,625340,697920,724020,811460,894610,1005310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Madhya Pradesh,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947701 (IASAAAM),SR502445,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164602,374618067,692916.6667,44615425261,211223.638,0.055850758,-1.004870948,0.304832671,379710,1030570,714655,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,379710,423390,478410,550490,600620,692160,779010,737150,846890,815360,981240,1030570,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Maharashtra,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18947901 (IASAAAO),SR502446,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164802,374618077,2278348.333,6.28971E+11,793076.8024,0.327944488,-0.628185298,0.348092867,1133200,3718780,2242230,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1133200,1300730,1578180,1793110,1951680,2096990,2432320,2387470,2667970,2999230,3280520,3718780,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Manipur,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948001 (IASAAAP),SR502447,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61164902,374618087,25887.5,85619711.36,9253.091989,0.052951874,-1.358690994,0.357434746,13080,40340,26130,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13080,14050,16270,18980,21580,24300,27960,29200,33440,34820,36630,40340,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1993,Rebased from 1993-94 to 1999-2000 base,GSDP: Meghalaya,India,India,"Annual, ending ""Mar"" of each year",INR mn,Central Statistics Office,Rebased,18948101 (IASAAAQ),SR502448,,,1994,2005,3/11/2013,Rebased from 1993-1994 base to 1999-2000 base. Replacement series ID: 61165002,374618097,32049.16667,161332444.7,12701.67094,0.21109417,-1.311216151,0.39631829,15110,52630,31145,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15110,16650,19950,21980,24970,29390,32900,37280,41390,44180,48160,52630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
